,#SampleID,temperature_deg_c,ph,adiv_observed_otus
1537,632.Agricultural.soil.soy,,7.6,1019
1538,632.Agricultural.soil.wheat,,7.4,1090
1539,632.Arctic.Tundra.1,,3.9,671
1540,632.Arctic.Tundra.2,,6.7,757
1541,632.Boreal.coniferous.forest,,4.6,617
1542,632.Northern.peatlands,,5.5,690
1543,632.Tar.sand.1,,7.6,1054
1544,632.Tar.sand.2,,6,992
1545,632.Temperate.deciduous.forest,,6.4,1098
1546,632.Temperate.rain.forest,,4.9,672
1547,632.Wetland.soil,,5,1201
1637,659.NZFACE.R1.Browntop,,5.05,434
1638,659.NZFACE.R1.control.19.4,,6,690
1639,659.NZFACE.R1.Ryegrass.26.4,,5.62,596
1641,659.NZFACE.R2.Browntop,,5.25,725
1642,659.NZFACE.R2.control.23.4,,5.8,681
1643,659.NZFACE.R2.Ryegrass.24.4,,5.68,673
1644,659.NZFACE.R3.Browntop,,5.45,620
1645,659.NZFACE.R3.Ryegrass.19.7,,5.79,614
1647,659.NZFACE.R4.Browntop,,5.36,656
1648,659.NZFACE.R4.Ryegrass.16.4,,5.84,668
1649,659.NZFACE.R5.Browntop,,5.47,682
1650,659.NZFACE.R5.Ryegrass,,5.17,683
1651,659.NZFACE.R6.Browntop,,5.57,674
1652,659.NZFACE.R6.Ryegrass,,5.8,664
1654,659.NZFACE.R3.control.19.4,,5.8,695
1655,659.NZFACE.R4.control.19.8,,5.9,741
1658,659.NZFACE.R6.control,,5.8,704
1706,678.OA.mesocosm.350,10.6,7.95,963
1707,678.OA.mesocosm.351,10.6,7.95,1009
1708,678.OA.mesocosm.352,10.6,7.95,1039
1709,678.OA.mesocosm.354,10.6,7.95,1054
1710,678.OA.mesocosm.355,10.6,7.95,1078
1711,678.OA.mesocosm.357,11,8.03,1039
1712,678.OA.mesocosm.361,11,8.03,716
1713,678.OA.mesocosm.362,11,8.03,1073
1714,678.OA.mesocosm.363,11,8.03,1219
1715,678.OA.mesocosm.364,11,8.01,1350
1716,678.OA.mesocosm.365,11,8.01,1651
1717,678.OA.mesocosm.366,11,8.01,952
1718,678.OA.mesocosm.367,11,8.01,1752
1719,678.OA.mesocosm.368,11,8.01,1144
1720,678.OA.mesocosm.369,11,8.01,1054
1721,678.OA.mesocosm.370,11,8.01,999
1722,678.OA.mesocosm.372,10.8,7.85,1358
1723,678.OA.mesocosm.373,10.8,7.85,916
1724,678.OA.mesocosm.374,10.8,7.85,767
