ComClustID	pH_mean	Temperature_C_mean	Depth_metres_mean
SGRP44		18.0	
SGRP107	8.25		0.0
SGRP119	5.7	20.057142857142857	1.1305357142857142
SGRP134			0.0
SGRP153		27.706293706293707	0.0
SGRP161	4.25		0.0
SGRP199		37.0	
SGRP234		36.8	3.985294117647059
SGRP244		37.0	
SGRP250	4.0		
SGRP293	5.046175637393761	37.052173913043475	0.625
SGRP298		44.0	
SGRP358			0.0
SGRP379			0.0
SGRP381			0.0
SGRP384			0.0
SGRP487		46.8	0.0
SGRP519	6.5	98.0	0.0
SGRP529			0.0
SGRP555		47.642857142857146	0.4
SGRP566			0.39999999999999997
SGRP567			0.39999999999999997
SGRP596		37.0	0.0
SGRP604			0.02825
SGRP627			0.0
SGRP633			0.016153846153846154
SGRP644			0.0
SGRP664	5.506		0.13999999999999999
SGRP681		21.833333333333332	0.0
SGRP801			0.0
SGRP810		35.083333333333336	4.6
SGRP812		36.2	0.0
SGRP825	5.371111111111111	47.14	11.134090909090911
SGRP831			0.0
SGRP849		35.483333333333334	0.0
SGRP855			0.0
SGRP859	4.7	37.0	0.0
SGRP884	4.0		
SGRP928	6.0	36.94285714285714	0.0
SGRP930		36.75	0.0
SGRP935			0.0
SGRP940	6.0	36.93	0.0
SGRP941		37.3	0.0
SGRP955		34.4	0.0
SGRP966	8.0		0.0
SGRP968			0.0
SGRP969			0.0
SGRP971			0.0
SGRP979		30.714285714285715	0.0
SGRP986			0.0
SGRP1001		18.0	
SGRP1028	5.676		18.291592105263156
SGRP1032			9.494623655913978
SGRP1042			86.15384615384616
SGRP1049			0.0
SGRP1059			53.25
SGRP1065	6.018000000000001	20.0	1.1062962962962968
SGRP1067		98.6	
SGRP1084	3.4		10.0
SGRP1086		39.0	
SGRP1090	5.75	98.65	0.0
SGRP1096		98.0	1.0
SGRP1102		37.0	0.0
SGRP1110	7.95		
SGRP1111			0.0
SGRP1114			0.0
SGRP1122			0.0
SGRP1124	4.793333333333333	19.48260869565217	76.77333333333335
SGRP1125			16.72222222222222
SGRP1161		64.33333333333333	
SGRP1163			0.0
SGRP1165			0.0
SGRP1169			0.0
SGRP1180			0.0
SGRP1181			0.0
SGRP1185			0.0
SGRP1190			0.0
SGRP1194			0.0
SGRP1210			0.0
SGRP1216	7.674117647058824	1.9933333333333332	5.714285714285714
SGRP1218			0.0
SGRP1233			0.0
SGRP1283			0.0
SGRP1317			0.1
SGRP1403		10.333333333333334	5.5
SGRP1446		21.77	0.0
SGRP1696	5.322222222222222		0.20000000000000007
SGRP1711	7.005555555555556		0.20000000000000007
SGRP1760		19.285714285714285	
SGRP1762		19.814814814814813	
SGRP1767		21.0	
SGRP1773		20.833333333333332	
SGRP1774		20.454545454545453	
SGRP1776		21.666666666666668	
SGRP1777		21.0	
SGRP1782		15.0	
SGRP1803			0.0
SGRP1816		19.285714285714285	
SGRP1835			0.0
SGRP1845			0.0
SGRP1852		15.0	
SGRP1908			0.0
SGRP1911	4.859999999999999	13.01	0.3333333333333333
SGRP1935			0.0
SGRP1938		80.0	0.0
SGRP1954		39.266666666666666	948.5
SGRP1975			0.0
SGRP2027	7.050909090909091		
SGRP2034	6.878571428571428		
SGRP2081			0.0
SGRP2082		24.916666666666668	0.0
SGRP2085			0.0
SGRP2087	8.446666666666667	1.0	2.0816326530612246
SGRP2099	6.96923076923077	20.3125	0.04395833333333332
SGRP2100			0.09999999999999999
SGRP2108		35.0	
SGRP2110		35.0	
SGRP2117	6.863333333333332	22.142857142857142	0.05465116279069764
SGRP2123		19.0	
SGRP2127	6.8	17.5	0.075
SGRP2137		25.0	
SGRP2146	7.2	21.666666666666668	0.042499999999999996
SGRP2148		19.444444444444443	0.01
SGRP2163	7.2	20.0	0.019285714285714285
SGRP2298			0.1
SGRP2314		31.0	0.06999999999999999
SGRP2319	3.343		10.005
SGRP2323			10.1
SGRP2324			5.333333333333333
SGRP2332			0.010000000000000002
SGRP2340			10.0
SGRP2345		21.693220338983053	0.7244897959183674
SGRP2363	5.233333333333333	61.56666666666666	
SGRP2394		11.50222727272727	88.37142857142857
SGRP2395			15.416666666666666
SGRP2396		7.622664285714285	43.38235294117647
SGRP2400		16.63962352941176	11.018181818181818
SGRP2405			8.125
SGRP2407		2.649651851851852	27.65945945945946
SGRP2412		8.2685	250.0
SGRP2413			68.0
SGRP2416	5.76	27.0	0.0
SGRP2421			56.0
SGRP2422			56.0
SGRP2437			0.0
SGRP2443		35.2875	0.0
SGRP2446		36.0	
SGRP2447		38.4	
SGRP2457	4.4		0.0
SGRP2468			0.0
SGRP2482		27.0	
SGRP2485			0.0
SGRP2486			0.0
SGRP2518			0.0
SGRP2550	5.027024922118383	37.03333333333333	8.695652173913044e-5
SGRP2552			0.0
SGRP2559			0.0
