"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Richness","Temp_bin","AbsLatitude","LatRegion"
"SRR1141802.SRS542450","SRS542450","SGRP325276","aquatic","AMPLICON",0,NA,NA,93,0,NA,"Unknown"
"SRR1141550.SRS542361","SRS542361","SGRP325276","aquatic","AMPLICON",0,NA,NA,47,0,NA,"Unknown"
"SRR1141801.SRS542451","SRS542451","SGRP325276","aquatic","AMPLICON",0,NA,NA,108,0,NA,"Unknown"
"SRR1141549.SRS542334","SRS542334","SGRP325276","aquatic","AMPLICON",0,NA,NA,47,0,NA,"Unknown"
"SRR1141804.SRS542453","SRS542453","SGRP325276","aquatic","AMPLICON",0,NA,NA,47,0,NA,"Unknown"
"SRR1141650.SRS542393","SRS542393","SGRP325276","aquatic","AMPLICON",0,NA,NA,100,0,NA,"Unknown"
"SRR1142167.SRS542605","SRS542605","SGRP325276","aquatic","AMPLICON",0,NA,NA,81,0,NA,"Unknown"
"SRR1141564.SRS542363","SRS542363","SGRP325276","aquatic","AMPLICON",0,NA,NA,102,0,NA,"Unknown"
"SRR3499959.SRS1434316","SRS1434316","SGRP340270","aquatic","AMPLICON",0,NA,NA,295,0,NA,"Unknown"
"SRR3499960.SRS1434317","SRS1434317","SGRP340270","aquatic","AMPLICON",0,NA,NA,293,0,NA,"Unknown"
"SRR3500024.SRS1434736","SRS1434736","SGRP340270","aquatic","AMPLICON",0,NA,NA,293,0,NA,"Unknown"
"SRR3499963.SRS1434320","SRS1434320","SGRP340270","aquatic","AMPLICON",0,NA,NA,177,0,NA,"Unknown"
"SRR3499964.SRS1434321","SRS1434321","SGRP340270","aquatic","AMPLICON",0,NA,NA,352,0,NA,"Unknown"
"SRR3499951.SRS1434308","SRS1434308","SGRP340298","aquatic","AMPLICON",0,NA,NA,414,0,NA,"Unknown"
"SRR3499947.SRS1434304","SRS1434304","SGRP340298","aquatic","AMPLICON",0,NA,NA,294,0,NA,"Unknown"
"SRR3499952.SRS1434309","SRS1434309","SGRP340298","aquatic","AMPLICON",0,NA,NA,304,0,NA,"Unknown"
"SRR3499948.SRS1434305","SRS1434305","SGRP340298","aquatic","AMPLICON",0,NA,NA,360,0,NA,"Unknown"
"SRR3499943.SRS1434300","SRS1434300","SGRP340298","aquatic","AMPLICON",0,NA,NA,277,0,NA,"Unknown"
"SRR3499944.SRS1434301","SRS1434301","SGRP340298","aquatic","AMPLICON",0,NA,NA,484,0,NA,"Unknown"
"SRR5902209.SRS2408898","SRS2408898","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,173,0,NA,"Unknown"
"SRR5902222.SRS2408911","SRS2408911","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,460,0,NA,"Unknown"
"SRR5902228.SRS2408917","SRS2408917","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,453,0,NA,"Unknown"
"SRR5902218.SRS2408907","SRS2408907","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,257,0,NA,"Unknown"
"SRR5902219.SRS2408908","SRS2408908","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,238,0,NA,"Unknown"
"SRR5902205.SRS2408894","SRS2408894","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,348,0,NA,"Unknown"
"SRR5902224.SRS2408913","SRS2408913","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,305,0,NA,"Unknown"
"SRR5902215.SRS2408904","SRS2408904","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,609,0,NA,"Unknown"
"SRR5902226.SRS2408915","SRS2408915","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,398,0,NA,"Unknown"
"SRR4384520.SRS1734485","SRS1734485","SGRP385960","aquatic","AMPLICON",0.214285714285714,-64.77,NA,383,0,64.77,"Polar_Subpolar"
"SRR4384512.SRS1734477","SRS1734477","SGRP385960","aquatic","AMPLICON",0.214285714285714,-64.77,NA,494,0,64.77,"Polar_Subpolar"
"SRR4384515.SRS1734480","SRS1734480","SGRP385960","aquatic","AMPLICON",0.214285714285714,-64.77,NA,385,0,64.77,"Polar_Subpolar"
