"Temp","Fit","FitType"
0,266.845115021471,"Gaussian_Mean"
0.1,269.096039920877,"Gaussian_Mean"
0.2,271.350480830455,"Gaussian_Mean"
0.3,273.608209066994,"Gaussian_Mean"
0.4,275.868993473417,"Gaussian_Mean"
0.5,278.132600451133,"Gaussian_Mean"
0.6,280.398793993353,"Gaussian_Mean"
0.7,282.667335719371,"Gaussian_Mean"
0.8,284.937984909805,"Gaussian_Mean"
0.9,287.210498542797,"Gaussian_Mean"
1,289.484631331154,"Gaussian_Mean"
1.1,291.760135760448,"Gaussian_Mean"
1.2,294.036762128044,"Gaussian_Mean"
1.3,296.314258583071,"Gaussian_Mean"
1.4,298.592371167313,"Gaussian_Mean"
1.5,300.870843857029,"Gaussian_Mean"
1.6,303.14941860568,"Gaussian_Mean"
1.7,305.427835387569,"Gaussian_Mean"
1.8,307.705832242368,"Gaussian_Mean"
1.9,309.983145320548,"Gaussian_Mean"
2,312.25950892968,"Gaussian_Mean"
2.1,314.53465558161,"Gaussian_Mean"
2.2,316.808316040498,"Gaussian_Mean"
2.3,319.080219371704,"Gaussian_Mean"
2.4,321.350092991519,"Gaussian_Mean"
2.5,323.617662717722,"Gaussian_Mean"
2.6,325.882652820961,"Gaussian_Mean"
2.7,328.144786076931,"Gaussian_Mean"
2.8,330.403783819358,"Gaussian_Mean"
2.9,332.659365993754,"Gaussian_Mean"
3,334.91125121195,"Gaussian_Mean"
3.1,337.159156807378,"Gaussian_Mean"
3.2,339.402798891096,"Gaussian_Mean"
3.3,341.641892408542,"Gaussian_Mean"
3.4,343.876151196998,"Gaussian_Mean"
3.5,346.105288043755,"Gaussian_Mean"
3.6,348.329014744954,"Gaussian_Mean"
3.7,350.547042165104,"Gaussian_Mean"
3.8,352.759080297241,"Gaussian_Mean"
3.9,354.964838323724,"Gaussian_Mean"
4,357.16402467765,"Gaussian_Mean"
4.1,359.356347104867,"Gaussian_Mean"
4.2,361.54151272657,"Gaussian_Mean"
4.3,363.719228102464,"Gaussian_Mean"
4.4,365.889199294468,"Gaussian_Mean"
4.5,368.051131930951,"Gaussian_Mean"
4.6,370.204731271476,"Gaussian_Mean"
4.7,372.349702272038,"Gaussian_Mean"
4.8,374.48574965076,"Gaussian_Mean"
4.9,376.612577954056,"Gaussian_Mean"
5,378.729891623212,"Gaussian_Mean"
5.1,380.837395061381,"Gaussian_Mean"
5.2,382.934792700972,"Gaussian_Mean"
5.3,385.021789071398,"Gaussian_Mean"
5.4,387.098088867182,"Gaussian_Mean"
5.5,389.163397016379,"Gaussian_Mean"
5.6,391.217418749311,"Gaussian_Mean"
5.7,393.259859667577,"Gaussian_Mean"
5.8,395.290425813329,"Gaussian_Mean"
5.9,397.308823738781,"Gaussian_Mean"
6,399.314760575936,"Gaussian_Mean"
6.1,401.307944106502,"Gaussian_Mean"
6.2,403.288082831985,"Gaussian_Mean"
6.3,405.25488604392,"Gaussian_Mean"
6.4,407.208063894224,"Gaussian_Mean"
6.5,409.14732746566,"Gaussian_Mean"
6.6,411.07238884236,"Gaussian_Mean"
6.7,412.982961180417,"Gaussian_Mean"
6.8,414.878758778488,"Gaussian_Mean"
6.9,416.759497148414,"Gaussian_Mean"
7,418.624893085815,"Gaussian_Mean"
7.1,420.474664740634,"Gaussian_Mean"
7.2,422.308531687625,"Gaussian_Mean"
7.3,424.126214996735,"Gaussian_Mean"
7.4,425.927437303374,"Gaussian_Mean"
7.5,427.711922878541,"Gaussian_Mean"
