"SampleID","ComClustID","Env_cons","Temperature_C_mean","Richness","Temp_bin"
"SRR1141801.SRS542451","SGRP325276","aquatic",0,108,0
"SRR1141650.SRS542393","SGRP325276","aquatic",0,100,0
"SRR1142167.SRS542605","SGRP325276","aquatic",0,81,0
"SRR1141549.SRS542334","SGRP325276","aquatic",0,47,0
"SRR1141564.SRS542363","SGRP325276","aquatic",0,102,0
"SRR1141550.SRS542361","SGRP325276","aquatic",0,47,0
"SRR1141802.SRS542450","SGRP325276","aquatic",0,93,0
"SRR1141804.SRS542453","SGRP325276","aquatic",0,47,0
"SRR3499960.SRS1434317","SGRP340270","aquatic",0,293,0
"SRR3499963.SRS1434320","SGRP340270","aquatic",0,177,0
"SRR3499959.SRS1434316","SGRP340270","aquatic",0,295,0
"SRR3500024.SRS1434736","SGRP340270","aquatic",0,293,0
"SRR3499964.SRS1434321","SGRP340270","aquatic",0,352,0
"SRR3499947.SRS1434304","SGRP340298","aquatic",0,294,0
"SRR3499948.SRS1434305","SGRP340298","aquatic",0,360,0
"SRR3499951.SRS1434308","SGRP340298","aquatic",0,414,0
"SRR3499944.SRS1434301","SGRP340298","aquatic",0,484,0
"SRR3499952.SRS1434309","SGRP340298","aquatic",0,304,0
"SRR3499943.SRS1434300","SGRP340298","aquatic",0,277,0
"SRR5902205.SRS2408894","SGRP198265","aquatic;sea",0.1875,348,0
"SRR5902209.SRS2408898","SGRP198265","aquatic;sea",0.1875,173,0
"SRR5902222.SRS2408911","SGRP198265","aquatic;sea",0.1875,460,0
"SRR5902228.SRS2408917","SGRP198265","aquatic;sea",0.1875,453,0
"SRR5902219.SRS2408908","SGRP198265","aquatic;sea",0.1875,238,0
"SRR5902226.SRS2408915","SGRP198265","aquatic;sea",0.1875,398,0
"SRR5902224.SRS2408913","SGRP198265","aquatic;sea",0.1875,305,0
"SRR5902215.SRS2408904","SGRP198265","aquatic;sea",0.1875,609,0
"SRR5902218.SRS2408907","SGRP198265","aquatic;sea",0.1875,257,0
"SRR4384509.SRS1734474","SGRP385960","aquatic",0.214285714285714,361,0
"SRR4384517.SRS1734482","SGRP385960","aquatic",0.214285714285714,407,0
"SRR4384511.SRS1734476","SGRP385960","aquatic",0.214285714285714,391,0
"SRR4384516.SRS1734481","SGRP385960","aquatic",0.214285714285714,294,0
"SRR4384523.SRS1734490","SGRP385960","aquatic",0.214285714285714,291,0
"SRR4384520.SRS1734485","SGRP385960","aquatic",0.214285714285714,383,0
"SRR4384506.SRS1734471","SGRP385960","aquatic",0.214285714285714,176,0
"SRR4384525.SRS1734491","SGRP385960","aquatic",0.214285714285714,302,0
"SRR4384504.SRS1734469","SGRP385960","aquatic",0.214285714285714,216,0
"SRR4384513.SRS1734478","SGRP385960","aquatic",0.214285714285714,469,0
"SRR4384514.SRS1734479","SGRP385960","aquatic",0.214285714285714,281,0
"SRR4384510.SRS1734475","SGRP385960","aquatic",0.214285714285714,332,0
"SRR4384519.SRS1734484","SGRP385960","aquatic",0.214285714285714,378,0
"SRR4384508.SRS1734473","SGRP385960","aquatic",0.214285714285714,265,0
"SRR4384512.SRS1734477","SGRP385960","aquatic",0.214285714285714,494,0
"SRR4384505.SRS1734470","SGRP385960","aquatic",0.214285714285714,200,0
"SRR4384515.SRS1734480","SGRP385960","aquatic",0.214285714285714,385,0
"SRR4384521.SRS1734487","SGRP385960","aquatic",0.214285714285714,459,0
"SRR4384522.SRS1734488","SGRP385960","aquatic",0.214285714285714,381,0
"SRR4384524.SRS1734489","SGRP385960","aquatic",0.214285714285714,305,0
"SRR4384526.SRS1734492","SGRP385960","aquatic",0.214285714285714,395,0
"SRR027397.SRS005879","SGRP303650","aquatic;marine",0.296922222222222,214,0
"SRR027400.SRS005882","SGRP303650","aquatic;marine",0.296922222222222,206,0
"SRR027399.SRS005881","SGRP303650","aquatic;marine",0.296922222222222,176,0
"SRR027404.SRS005886","SGRP303650","aquatic;marine",0.296922222222222,205,0
"SRR027403.SRS005885","SGRP303650","aquatic;marine",0.296922222222222,207,0
"SRR027401.SRS005883","SGRP303650","aquatic;marine",0.296922222222222,188,0
"SRR027396.SRS005878","SGRP303650","aquatic;marine",0.296922222222222,170,0
"SRR027402.SRS005884","SGRP303650","aquatic;marine",0.296922222222222,202,0
"SRR027405.SRS005887","SGRP303650","aquatic;marine",0.296922222222222,164,0
"ERR1698714.ERS1417626","SGRP231895","aquatic",0.366183666666667,360,0
"SRR5242497.SRS1967666","SGRP231895","aquatic",0.366183666666667,157,0
"ERR1756091.ERS491157","SGRP231895","aquatic",0.366183666666667,671,0
"ERR562503.ERS491032","SGRP231895","aquatic",0.366183666666667,415,0
"ERR1698692.ERS1417604","SGRP231895","aquatic",0.366183666666667,765,0
"ERR1756034.ERS491157","SGRP231895","aquatic",0.366183666666667,554,0
"SRR5902231.SRS2408920","SGRP198300","aquatic;sea",0.38,38,0
"SRR5902248.SRS2408936","SGRP198300","aquatic;sea",0.38,47,0
"SRR5902244.SRS2408933","SGRP198300","aquatic;sea",0.38,64,0
"SRR5902242.SRS2408931","SGRP198300","aquatic;sea",0.38,73,0
"SRR5902213.SRS2408902","SGRP198300","aquatic;sea",0.38,42,0
"SRR5902240.SRS2408929","SGRP198300","aquatic;sea",0.38,69,0
"SRR5902233.SRS2408922","SGRP198300","aquatic;sea",0.38,76,0
"SRR5902229.SRS2408918","SGRP198300","aquatic;sea",0.38,53,0
"SRR5902238.SRS2408928","SGRP198300","aquatic;sea",0.38,41,0
"SRR5902246.SRS2408934","SGRP198300","aquatic;sea",0.38,77,0
"ERR1544642.ERS1262258","SGRP40301","aquatic",0.4,1073,0
"SRR7619132.SRS3607801","SGRP40301","aquatic",0.4,149,0
"ERR1544638.ERS1262254","SGRP40301","aquatic",0.4,581,0
"ERR2854900.ERS2853678","SGRP40301","aquatic",0.4,147,0
"ERR1544641.ERS1262257","SGRP40301","aquatic",0.4,752,0
"ERR1544639.ERS1262255","SGRP40301","aquatic",0.4,713,0
