"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","AbsLatitude","LatRegion"
"ERR1698692.ERS1417604","ERS1417604","SGRP231895","aquatic","AMPLICON",0.366183666666667,NA,NA,74.75,765,0,NA,"Unknown"
"ERR1756091.ERS491157","ERS491157","SGRP231895","aquatic","AMPLICON",0.366183666666667,-64.3567,NA,74.75,671,0,64.3567,"Polar_Subpolar"
"ERR1544642.ERS1262258","ERS1262258","SGRP40301","aquatic","AMPLICON",0.4,-62.232,NA,15.725,1073,0,62.232,"Polar_Subpolar"
"ERR1544641.ERS1262257","ERS1262257","SGRP40301","aquatic","AMPLICON",0.4,-62.232,NA,15.725,752,0,62.232,"Polar_Subpolar"
"ERR1544639.ERS1262255","ERS1262255","SGRP40301","aquatic","AMPLICON",0.4,-62.231,NA,15.725,713,0,62.231,"Polar_Subpolar"
"SRR3821683.SRS1552079","SRS1552079","SGRP289595","aquatic","AMPLICON",0.401,-61.4886,NA,649.27657,691,0,61.4886,"Polar_Subpolar"
"SRR3821197.SRS1551831","SRS1551831","SGRP289595","aquatic","AMPLICON",0.401,-63,NA,649.27657,658,0,63,"Polar_Subpolar"
"SRR3821633.SRS1552067","SRS1552067","SGRP289595","aquatic","AMPLICON",0.401,-61.4994,NA,649.27657,677,0,61.4994,"Polar_Subpolar"
"ERR3001996.ERS2985097","ERS2985097","SGRP42105","aquatic;estuary","AMPLICON",0.446666666666667,50.22416667,NA,65,650,0,50.22416667,"Temperate"
"ERR3002001.ERS2985102","ERS2985102","SGRP42102","aquatic;estuary","AMPLICON",0.448,50.22416667,NA,65,1041,0,50.22416667,"Temperate"
"ERR3002000.ERS2985101","ERS2985101","SGRP42102","aquatic;estuary","AMPLICON",0.448,50.22416667,NA,65,1078,0,50.22416667,"Temperate"
"SRR4384476.SRS1734441","SRS1734441","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,NA,408,1,64.77,"Polar_Subpolar"
"ERR2372925.ERS2269403","ERS2269403","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,47.3333333333333,400,1,NA,"Unknown"
"ERR2372836.ERS2269372","ERS2269372","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,47.3333333333333,464,1,NA,"Unknown"
"ERR2372867.ERS2269406","ERS2269406","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,47.3333333333333,400,1,NA,"Unknown"
"ERR2372869.ERS2269391","ERS2269391","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,47.3333333333333,416,1,NA,"Unknown"
"ERR2372889.ERS2269432","ERS2269432","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,47.3333333333333,413,1,NA,"Unknown"
"ERR1101368.ERS945758","ERS945758","SGRP251567","aquatic;lake","AMPLICON",1.18,54.96614,8.18,0.25,535,1,54.96614,"Temperate"
"ERR2529221.ERS2411166","ERS2411166","SGRP5339","aquatic","AMPLICON",1.195,78.453,NA,5,430,1,78.453,"Polar_Subpolar"
"ERR2529222.ERS2411167","ERS2411167","SGRP5339","aquatic","AMPLICON",1.195,78.453,NA,5,433,1,78.453,"Polar_Subpolar"
"ERR2529220.ERS2411165","ERS2411165","SGRP5339","aquatic","AMPLICON",1.195,78.453,NA,5,453,1,78.453,"Polar_Subpolar"
"ERR1897664.ERS1628102","ERS1628102","SGRP251708","aquatic;lake","AMPLICON",1.23,53.1,7.58,0,402,1,53.1,"Temperate"
"SRR4384492.SRS1734458","SRS1734458","SGRP385935","aquatic","AMPLICON",1.4,-64.77,NA,NA,392,1,64.77,"Polar_Subpolar"
"SRR3500242.SRS1434644","SRS1434644","SGRP352611","aquatic","AMPLICON",1.42857142857143,54.454153,NA,NA,406,1,54.454153,"Temperate"
"SRR4241983.SRS1690920","SRS1690920","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,733,2,NA,"Unknown"
"SRR4241973.SRS1690910","SRS1690910","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,455,2,NA,"Unknown"
"SRR4241981.SRS1690918","SRS1690918","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,640,2,NA,"Unknown"
"SRR4241982.SRS1690919","SRS1690919","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,632,2,NA,"Unknown"
"SRR5000912.SRS1787276","SRS1787276","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,619,2,NA,"Unknown"
"SRR5000953.SRS1787317","SRS1787317","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,585,2,NA,"Unknown"
"SRR5000979.SRS1787342","SRS1787342","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,493,2,NA,"Unknown"
"SRR5000981.SRS1787347","SRS1787347","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,718,2,NA,"Unknown"
"SRR5000865.SRS1787229","SRS1787229","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,539,2,NA,"Unknown"
"SRR5000977.SRS1787341","SRS1787341","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,739,2,NA,"Unknown"
"SRR5000848.SRS1787212","SRS1787212","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,NA,778,2,NA,"Unknown"
"ERR2372859.ERS2269386","ERS2269386","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,451,2,NA,"Unknown"
"ERR2372842.ERS2269439","ERS2269439","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,556,2,NA,"Unknown"
"ERR2372854.ERS2269337","ERS2269337","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,480,2,NA,"Unknown"
"ERR2372833.ERS2269336","ERS2269336","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,464,2,NA,"Unknown"
