"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","Zone","n_bin"
"ERR3001996.ERS2985097","ERS2985097","SGRP42105","aquatic;estuary","AMPLICON",0.446666666666667,50.22416667,NA,65,650,0,"temperate",3
"ERR3002001.ERS2985102","ERS2985102","SGRP42102","aquatic;estuary","AMPLICON",0.448,50.22416667,NA,65,1041,0,"temperate",3
"ERR3002000.ERS2985101","ERS2985101","SGRP42102","aquatic;estuary","AMPLICON",0.448,50.22416667,NA,65,1078,0,"temperate",3
"ERR1101368.ERS945758","ERS945758","SGRP251567","aquatic;lake","AMPLICON",1.18,54.96614,8.18,0.25,535,1,"temperate",2
"SRR3500242.SRS1434644","SRS1434644","SGRP352611","aquatic","AMPLICON",1.42857142857143,54.454153,NA,NA,406,1,"temperate",2
"SRR3143697.SRS1274596","SRS1274596","SGRP5140","aquatic","AMPLICON",1.66666666666667,55.028389,NA,NA,379,2,"temperate",33
"SRR3143699.SRS1274594","SRS1274594","SGRP5140","aquatic","AMPLICON",1.66666666666667,55.028389,NA,NA,398,2,"temperate",33
"SRR3143769.SRS1274546","SRS1274546","SGRP5140","aquatic","AMPLICON",1.66666666666667,55.028389,NA,NA,379,2,"temperate",33
"SRR3500146.SRS1434413","SRS1434413","SGRP352455","aquatic","AMPLICON",1.875,54.454153,NA,NA,419,2,"temperate",33
"SRR3499991.SRS1434714","SRS1434714","SGRP340187","aquatic","AMPLICON",1.92307692307692,54.454153,NA,NA,444,2,"temperate",33
"SRR10965125.SRS6061860","SRS6061860","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,56.7682,9.925,0,517,2,"temperate",33
"SRR10965126.SRS6061859","SRS6061859","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,59.84678,9.925,0,415,2,"temperate",33
"SRR10965106.SRS6061879","SRS6061879","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,56.94399,9.925,0,472,2,"temperate",33
"SRR10965155.SRS6061830","SRS6061830","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,57.01402,9.925,0,388,2,"temperate",33
"SRR10954050.SRS6052904","SRS6052904","SGRP1216","aquatic;lake","AMPLICON",1.99333333333333,36.6012,7.67411764705882,5.71428571428571,383,2,"temperate",33
"SRR10954038.SRS6052916","SRS6052916","SGRP1216","aquatic;lake","AMPLICON",1.99333333333333,36.5975,7.67411764705882,5.71428571428571,576,2,"temperate",33
"SRR10954053.SRS6052900","SRS6052900","SGRP1216","aquatic;lake","AMPLICON",1.99333333333333,37.8475,7.67411764705882,5.71428571428571,411,2,"temperate",33
"SRR7642629.SRS3626426","SRS3626426","SGRP10405","aquatic","AMPLICON",2.1875,39.86336,NA,0.833333333333333,454,2,"temperate",33
"SRR10846043.SRS5956396","SRS5956396","SGRP10405","aquatic","AMPLICON",2.1875,36.194587,NA,0.833333333333333,420,2,"temperate",33
"SRR3143733.SRS1274515","SRS1274515","SGRP131518","aquatic","AMPLICON",2.43243243243243,55.028389,NA,NA,564,2,"temperate",33
"SRR3143730.SRS1274517","SRS1274517","SGRP131518","aquatic","AMPLICON",2.43243243243243,55.028389,NA,NA,419,2,"temperate",33
