"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","Zone","n_bin"
"SRR9032732.SRS4739247","SRS4739247","SGRP26761","soil","AMPLICON",1,50.253333,NA,NA,112,1,"temperate",1
"SRR7467343.SRS3498221","SRS3498221","SGRP4779","soil","AMPLICON",4,32.02,NA,NA,625,4,"temperate",1
"SRR4427137.SRS1748974","SRS1748974","SGRP41580","soil","AMPLICON",7.3,38.151751,NA,500,129,7,"temperate",1
"SRR3607856.SRS1254250","SRS1254250","SGRP402863","soil;forest","AMPLICON",7.81818181818182,35,3.82727272727273,NA,488,8,"temperate",3
"SRR3607758.SRS1253994","SRS1253994","SGRP402863","soil;forest","AMPLICON",7.81818181818182,42.53,3.82727272727273,NA,582,8,"temperate",3
"SRR3607737.SRS1254012","SRS1254012","SGRP402863","soil;forest","AMPLICON",7.81818181818182,42.53,3.82727272727273,NA,488,8,"temperate",3
"SRR3607925.SRS1254271","SRS1254271","SGRP402902","soil;forest","AMPLICON",9,44.2,5.539375,NA,1195,9,"temperate",2
"SRR3607923.SRS1254221","SRS1254221","SGRP402902","soil;forest","AMPLICON",9,44.2,5.539375,NA,1195,9,"temperate",2
"ERR1653347.ERS1359954","ERS1359954","SGRP374565","soil;field","AMPLICON",10.0081818181818,51.024,NA,0.0768292682926829,2223,10,"temperate",12
"ERR1653400.ERS1360007","ERS1360007","SGRP374565","soil;field","AMPLICON",10.0081818181818,51.024,NA,0.0768292682926829,2182,10,"temperate",12
"ERR1653362.ERS1359969","ERS1359969","SGRP374565","soil;field","AMPLICON",10.0081818181818,51.024,NA,0.0768292682926829,2303,10,"temperate",12
"ERR1653393.ERS1360000","ERS1360000","SGRP374565","soil;field","AMPLICON",10.0081818181818,51.024,NA,0.0768292682926829,2211,10,"temperate",12
"ERR1653391.ERS1359998","ERS1359998","SGRP374565","soil;field","AMPLICON",10.0081818181818,51.024,NA,0.0768292682926829,2250,10,"temperate",12
"ERR1653402.ERS1360009","ERS1360009","SGRP374565","soil;field","AMPLICON",10.0081818181818,51.024,NA,0.0768292682926829,2228,10,"temperate",12
"ERR1653381.ERS1359988","ERS1359988","SGRP374565","soil;field","AMPLICON",10.0081818181818,51.024,NA,0.0768292682926829,2201,10,"temperate",12
"ERR1653401.ERS1360008","ERS1360008","SGRP374565","soil;field","AMPLICON",10.0081818181818,51.024,NA,0.0768292682926829,2234,10,"temperate",12
"ERR1653358.ERS1359965","ERS1359965","SGRP374565","soil;field","AMPLICON",10.0081818181818,51.024,NA,0.0768292682926829,2234,10,"temperate",12
"ERR1653359.ERS1359966","ERS1359966","SGRP374569","soil;field","AMPLICON",10.21,51.024,NA,0.0736842105263158,2235,10,"temperate",12
"ERR1653360.ERS1359967","ERS1359967","SGRP374569","soil;field","AMPLICON",10.21,51.024,NA,0.0736842105263158,2281,10,"temperate",12
"ERR1653361.ERS1359968","ERS1359968","SGRP374569","soil;field","AMPLICON",10.21,51.024,NA,0.0736842105263158,2241,10,"temperate",12
"SRR3742495.SRS1539728","SRS1539728","SGRP333023","soil;field","AMPLICON",10.9421052631579,46.33,8.32657894736842,NA,1570,11,"temperate",3
"SRR3742508.SRS1539740","SRS1539740","SGRP333023","soil;field","AMPLICON",10.9421052631579,46.22,8.32657894736842,NA,1742,11,"temperate",3
"SRR3742513.SRS1539745","SRS1539745","SGRP333023","soil;field","AMPLICON",10.9421052631579,46.21,8.32657894736842,NA,1874,11,"temperate",3
"SRR5681941.SRS2283335","SRS2283335","SGRP225243","soil","AMPLICON",12.5,45.413333,NA,NA,948,12,"temperate",3
"SRR5682033.SRS2283360","SRS2283360","SGRP225243","soil","AMPLICON",12.5,45.413333,NA,NA,959,12,"temperate",3
"SRR5682021.SRS2283354","SRS2283354","SGRP225243","soil","AMPLICON",12.5,45.413333,NA,NA,977,12,"temperate",3
"SRR3607797.SRS1254269","SRS1254269","SGRP402865","soil;forest","AMPLICON",13,35,4.84166666666667,NA,604,13,"temperate",3
"SRR3607779.SRS1254264","SRS1254264","SGRP402865","soil;forest","AMPLICON",13,35,4.84166666666667,NA,741,13,"temperate",3
"SRR3607778.SRS1254263","SRS1254263","SGRP402865","soil;forest","AMPLICON",13,35,4.84166666666667,NA,720,13,"temperate",3
"SRR5287996.SRS2003130","SRS2003130","SGRP21243","soil","AMPLICON",14,52.9,NA,0.00666666666666667,299,14,"temperate",3
"SRR6310056.SRS2703521","SRS2703521","SGRP21243","soil","AMPLICON",14,37.416483,NA,0.00666666666666667,459,14,"temperate",3
"SRR5287988.SRS2003122","SRS2003122","SGRP21243","soil","AMPLICON",14,52.9,NA,0.00666666666666667,307,14,"temperate",3
"SRR3742475.SRS1539708","SRS1539708","SGRP332950","soil;field","AMPLICON",15.2909090909091,46.38,4.84644444444444,NA,1180,15,"temperate",3
"SRR3742386.SRS1539621","SRS1539621","SGRP332950","soil;field","AMPLICON",15.2909090909091,46.29,4.84644444444444,NA,877,15,"temperate",3
"SRR3742399.SRS1539633","SRS1539633","SGRP332950","soil;field","AMPLICON",15.2909090909091,46.26,4.84644444444444,NA,1437,15,"temperate",3
"SRR3305960.SRS1365356","SRS1365356","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2275,16,"temperate",20
"SRR3305938.SRS1365332","SRS1365332","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2013,16,"temperate",20
"SRR3305931.SRS1365339","SRS1365339","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,1977,16,"temperate",20
"SRR3305937.SRS1365333","SRS1365333","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2159,16,"temperate",20
"SRR3305924.SRS1365331","SRS1365331","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2077,16,"temperate",20
"SRR3305936.SRS1365334","SRS1365334","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2094,16,"temperate",20
"SRR3305954.SRS1365362","SRS1365362","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2289,16,"temperate",20
"SRR3305944.SRS1365341","SRS1365341","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,1993,16,"temperate",20
"SRR3305928.SRS1365327","SRS1365327","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2130,16,"temperate",20
"SRR3305870.SRS1365267","SRS1365267","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,1955,16,"temperate",20
"SRR3305972.SRS1365374","SRS1365374","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2274,16,"temperate",20
"SRR3305957.SRS1365359","SRS1365359","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2060,16,"temperate",20
"SRR3305927.SRS1365328","SRS1365328","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2186,16,"temperate",20
"SRR3305956.SRS1365360","SRS1365360","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,1940,16,"temperate",20
"SRR3305942.SRS1365343","SRS1365343","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2076,16,"temperate",20
"SRR3305953.SRS1365348","SRS1365348","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2212,16,"temperate",20
"SRR3305951.SRS1365349","SRS1365349","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2271,16,"temperate",20
"SRR3305930.SRS1365325","SRS1365325","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2135,16,"temperate",20
"SRR3305952.SRS1365347","SRS1365347","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2331,16,"temperate",20
"SRR3305912.SRS1365314","SRS1365314","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2010,16,"temperate",20
"SRR3742377.SRS1539612","SRS1539612","SGRP332952","soil;field","AMPLICON",17.4518518518519,46.29,5.8503,NA,1657,17,"temperate",3
"SRR3742469.SRS1539702","SRS1539702","SGRP332952","soil;field","AMPLICON",17.4518518518519,46.43,5.8503,NA,1461,17,"temperate",3
"SRR3742456.SRS1539688","SRS1539688","SGRP332952","soil;field","AMPLICON",17.4518518518519,46.52,5.8503,NA,1493,17,"temperate",3
