"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","AbsLatitude","LatRegion","Zone","n_bin"
"SRR6479645.SRS2840546","SRS2840546","SGRP5140","aquatic","AMPLICON",1.66666666666667,-8.6232,NA,NA,288,2,8.6232,"Tropics_Subtropics","tropical",4
"SRR6479601.SRS2840590","SRS2840590","SGRP5140","aquatic","AMPLICON",1.66666666666667,-8.6232,NA,NA,256,2,8.6232,"Tropics_Subtropics","tropical",4
"SRR5190084.SRS1930182","SRS1930182","SGRP158008","aquatic","AMPLICON",2,12.919,NA,64.0766666666667,367,2,12.919,"Tropics_Subtropics","tropical",4
"SRR5190117.SRS1930215","SRS1930215","SGRP158008","aquatic","AMPLICON",2,12.919,NA,64.0766666666667,302,2,12.919,"Tropics_Subtropics","tropical",4
"SRR6342057.SRS2731137","SRS2731137","SGRP198998","aquatic","AMPLICON",3.625,27.38837,NA,NA,709,4,27.38837,"Tropics_Subtropics","tropical",2
"SRR6074027.SRS2539534","SRS2539534","SGRP70220","aquatic;lake","AMPLICON",3.97549019607843,15.13638889,8.17549019607843,1.52103448275862,928,4,15.13638889,"Tropics_Subtropics","tropical",2
"SRR6230166.SRS2640920","SRS2640920","SGRP28270","aquatic","AMPLICON",7.47777777777778,25.132,7.0125,0.1,488,7,25.132,"Tropics_Subtropics","tropical",4
"SRR6230157.SRS2640832","SRS2640832","SGRP28270","aquatic","AMPLICON",7.47777777777778,25.161,7.0125,0.1,488,7,25.161,"Tropics_Subtropics","tropical",4
"SRR6230163.SRS2640895","SRS2640895","SGRP28270","aquatic","AMPLICON",7.47777777777778,25.134,7.0125,0.1,521,7,25.134,"Tropics_Subtropics","tropical",4
"SRR6230161.SRS2640894","SRS2640894","SGRP28270","aquatic","AMPLICON",7.47777777777778,25.163,7.0125,0.1,548,7,25.163,"Tropics_Subtropics","tropical",4
"SRR5874726.SRS2231960","SRS2231960","SGRP10411","aquatic","AMPLICON",7.85,25.67,NA,1.83333333333333,472,8,25.67,"Tropics_Subtropics","tropical",3
"SRR5713972.SRS2356332","SRS2356332","SGRP35329","aquatic","AMPLICON",8.5,29.12,NA,NA,527,8,29.12,"Tropics_Subtropics","tropical",3
"SRR5713971.SRS2356330","SRS2356330","SGRP35329","aquatic","AMPLICON",8.5,29.12,NA,NA,487,8,29.12,"Tropics_Subtropics","tropical",3
