"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","Zone","n_bin"
"SRR11191474.SRS6224219","SRS6224219","SGRP4779","soil","AMPLICON",4,22.7226,NA,NA,594,4,"tropical",1
"SRR1697617.SRS783021","SRS783021","SGRP74890","plant","AMPLICON",6,21.3799,NA,NA,77,6,"tropical",1
"SRR8105270.SRS3976378","SRS3976378","SGRP41580","soil","AMPLICON",7.3,12.124625,NA,500,168,7,"tropical",3
"SRR8105207.SRS3976401","SRS3976401","SGRP41580","soil","AMPLICON",7.3,12.124625,NA,500,207,7,"tropical",3
"SRR8105273.SRS3976383","SRS3976383","SGRP41580","soil","AMPLICON",7.3,12.124625,NA,500,364,7,"tropical",3
"SRR6893251.SRS1268689","SRS1268689","SGRP30018","plant","AMPLICON",10,7.72777543652055,7.1,0,335,10,"tropical",1
"SRR9993360.SRS5284332","SRS5284332","SGRP117351","soil;field","AMPLICON",10.85,25.1298217,NA,0.142857142857143,382,11,"tropical",3
"ERR1794353.ERS1500718","ERS1500718","SGRP117351","soil;field","AMPLICON",10.85,-21.1,NA,0.142857142857143,313,11,"tropical",3
"ERR1794551.ERS1500710","ERS1500710","SGRP117351","soil;field","AMPLICON",10.85,-21.1,NA,0.142857142857143,341,11,"tropical",3
"ERR2209780.ERS2028644","ERS2028644","SGRP21243","soil","AMPLICON",14,3.13049,NA,0.00666666666666667,910,14,"tropical",2
"ERR2209782.ERS2028646","ERS2028646","SGRP21243","soil","AMPLICON",14,3.13049,NA,0.00666666666666667,966,14,"tropical",2
"ERR2610151.ERS2524177","ERS2524177","SGRP3394","soil","AMPLICON",18.175,1,6.79333333333333,0.266666666666667,206,18,"tropical",1
"SRR1988707.SRS919608","SRS919608","SGRP2148","soil","AMPLICON",19.4444444444444,10.37560906,NA,0.01,35,19,"tropical",1
"SRR3066863.SRS1229195","SRS1229195","SGRP1065","soil","AMPLICON",20,10.47,6.018,1.1062962962963,190,20,"tropical",4
"SRR10870024.SRS5978800","SRS5978800","SGRP1065","soil","AMPLICON",20,29.9407,6.018,1.1062962962963,108,20,"tropical",4
"SRR1868406.SRS868035","SRS868035","SGRP1065","soil","AMPLICON",20,-6.01488,6.018,1.1062962962963,96,20,"tropical",4
"SRR1988593.SRS919716","SRS919716","SGRP2099","soil","AMPLICON",20.3125,10.92035724,6.96923076923077,0.0439583333333333,101,20,"tropical",4
"SRR1988623.SRS919686","SRS919686","SGRP2117","soil","AMPLICON",22.1428571428571,10.86503544,6.86333333333333,0.0546511627906976,91,22,"tropical",2
"SRR1988635.SRS919674","SRS919674","SGRP2117","soil","AMPLICON",22.1428571428571,10.8484067,6.86333333333333,0.0546511627906976,83,22,"tropical",2
"SRR3607542.SRS1253974","SRS1253974","SGRP402867","soil;forest","AMPLICON",23,18.3,5.42,NA,922,23,"tropical",2
"SRR3607726.SRS1254024","SRS1254024","SGRP402867","soil;forest","AMPLICON",23,18.3,5.42,NA,818,23,"tropical",2
"ERR2432537.ERS2309147","ERS2309147","SGRP10802","soil","AMPLICON",24.1666666666667,-3.11,NA,NA,346,24,"tropical",2
"ERR2432613.ERS2309192","ERS2309192","SGRP10802","soil","AMPLICON",24.1666666666667,-3.11,NA,NA,426,24,"tropical",2
"ERR1872115.ERS1581679","ERS1581679","SGRP12646","soil","AMPLICON",25.9,-18.9162,6.93,0.0333333333333333,146,26,"tropical",1
"SRR3607892.SRS1254243","SRS1254243","SGRP402866","soil","AMPLICON",27,9.15,5.84625,NA,1282,27,"tropical",2
"SRR3607907.SRS1254232","SRS1254232","SGRP402866","soil","AMPLICON",27,9.15,5.84625,NA,1214,27,"tropical",2
"SRR10870201.SRS5978622","SRS5978622","SGRP47617","soil","AMPLICON",27.9,29.9407,7.32333333333333,0.062,106,28,"tropical",1
"ERR1872067.ERS1581628","ERS1581628","SGRP12623","soil","AMPLICON",28.9,-7.30579,NA,3.76428571428571,374,29,"tropical",2
"ERR1872174.ERS1581701","ERS1581701","SGRP12623","soil","AMPLICON",28.9,8.4868,NA,3.76428571428571,205,29,"tropical",2
