"SampleID","ComClustID","Env_cons","Temperature_C_mean","pH_mean","Richness","Temp_bin","weight"
"ERR2372867.ERS2269406","SGRP112859","soil;tundra",0.858666666666667,5.954,400,1,10
"ERR2372839.ERS2269393","SGRP112859","soil;tundra",0.858666666666667,5.954,376,1,10
"ERR2372837.ERS2269392","SGRP112859","soil;tundra",0.858666666666667,5.954,366,1,10
"ERR2372869.ERS2269391","SGRP112859","soil;tundra",0.858666666666667,5.954,416,1,10
"ERR2372836.ERS2269372","SGRP112859","soil;tundra",0.858666666666667,5.954,464,1,10
"ERR2372889.ERS2269432","SGRP112859","soil;tundra",0.858666666666667,5.954,413,1,10
"ERR2372925.ERS2269403","SGRP112859","soil;tundra",0.858666666666667,5.954,400,1,10
"ERR1101270.ERS945660","SGRP251567","aquatic;lake",1.18,8.18,377,1,10
"ERR1101368.ERS945758","SGRP251567","aquatic;lake",1.18,8.18,535,1,10
"ERR1897664.ERS1628102","SGRP251708","aquatic;lake",1.23,7.58,402,1,10
"SRR5643451.SRS2250291","SGRP215285","aquatic",1.7723,7.7057,747,2,28
"SRR1980860.SRS913787","SGRP215285","aquatic",1.7723,7.7057,463,2,28
"SRR1980870.SRS913797","SGRP215285","aquatic",1.7723,7.7057,605,2,28
"SRR1980861.SRS913788","SGRP215285","aquatic",1.7723,7.7057,514,2,28
"SRR1980869.SRS913796","SGRP215285","aquatic",1.7723,7.7057,525,2,28
"SRR1980852.SRS913779","SGRP215285","aquatic",1.7723,7.7057,617,2,28
"SRR1980853.SRS913780","SGRP215285","aquatic",1.7723,7.7057,525,2,28
"ERR2372922.ERS2269424","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,466,2,28
"ERR2372833.ERS2269336","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,464,2,28
"ERR2372963.ERS2269313","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,466,2,28
"ERR2372948.ERS2269326","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,480,2,28
"ERR2372815.ERS2269358","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,526,2,28
"ERR2372916.ERS2269422","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,465,2,28
"ERR2372870.ERS2269353","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,482,2,28
"ERR2372973.ERS2269419","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,519,2,28
"ERR2372853.ERS2269438","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,461,2,28
"ERR2372885.ERS2269385","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,468,2,28
"ERR2372819.ERS2269351","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,487,2,28
"ERR2372817.ERS2269350","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,467,2,28
"ERR2372900.ERS2269341","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,458,2,28
"ERR2372842.ERS2269439","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,556,2,28
"ERR2372896.ERS2269374","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,492,2,28
"ERR2372872.ERS2269367","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,476,2,28
"ERR2372864.ERS2269352","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,492,2,28
"ERR2372854.ERS2269337","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,480,2,28
"SRR10965125.SRS6061860","SGRP2696","aquatic;lake",1.93333333333333,9.925,517,2,28
"SRR10965106.SRS6061879","SGRP2696","aquatic;lake",1.93333333333333,9.925,472,2,28
"SRR10954038.SRS6052916","SGRP1216","aquatic;lake",1.99333333333333,7.67411764705882,576,2,28
"ERR1535950.ERS1254425","SGRP36337","aquatic;lake",3.00590612244898,7.97497959183674,396,3,4
"SRR10522043.SRS5719195","SGRP36337","aquatic;lake",3.00590612244898,7.97497959183674,490,3,4
"ERR1535974.ERS1254449","SGRP36337","aquatic;lake",3.00590612244898,7.97497959183674,407,3,4
"ERR1535970.ERS1254445","SGRP36337","aquatic;lake",3.00590612244898,7.97497959183674,398,3,4
"SRR5298354.SRS2006677","SGRP70220","aquatic;lake",3.97549019607843,8.17549019607843,667,4,5
"SRR6074027.SRS2539534","SGRP70220","aquatic;lake",3.97549019607843,8.17549019607843,928,4,5
"ERR1811812.ERS1513130","SGRP70220","aquatic;lake",3.97549019607843,8.17549019607843,663,4,5
"ERR1811822.ERS1513140","SGRP70220","aquatic;lake",3.97549019607843,8.17549019607843,610,4,5
"ERR2728107.ERS2639910","SGRP70220","aquatic;lake",3.97549019607843,8.17549019607843,876,4,5
"ERR1101544.ERS945934","SGRP80409","aquatic;lake",4.58643564356436,7.93617647058823,712,5,14
"SRR3359195.SRS1357092","SGRP295847","aquatic",4.6166052568,6.7273154491,862,5,14
"SRR3359207.SRS1384911","SGRP295847","aquatic",4.6166052568,6.7273154491,885,5,14
"SRR965845.SRS476492","SGRP295847","aquatic",4.6166052568,6.7273154491,820,5,14
"SRR965829.SRS476495","SGRP295847","aquatic",4.6166052568,6.7273154491,699,5,14
"SRR965827.SRS476496","SGRP295847","aquatic",4.6166052568,6.7273154491,869,5,14
"SRR965817.SRS476773","SGRP295847","aquatic",4.6166052568,6.7273154491,864,5,14
"SRR3359218.SRS1384914","SGRP295847","aquatic",4.6166052568,6.7273154491,709,5,14
"SRR965815.SRS476771","SGRP295847","aquatic",4.6166052568,6.7273154491,790,5,14
"SRR965848.SRS476491","SGRP295847","aquatic",4.6166052568,6.7273154491,839,5,14
"SRR965830.SRS476494","SGRP295847","aquatic",4.6166052568,6.7273154491,752,5,14
"SRR965821.SRS476776","SGRP295847","aquatic",4.6166052568,6.7273154491,884,5,14
"SRR965412.SRS476493","SGRP295847","aquatic",4.6166052568,6.7273154491,703,5,14
"SRR965822.SRS476778","SGRP295847","aquatic",4.6166052568,6.7273154491,707,5,14
"DRR138674.DRS093499","SGRP33196","aquatic;river",5.5,8.53,525,6,23
"DRR138677.DRS093502","SGRP33196","aquatic;river",5.5,8.53,473,6,23
"DRR138676.DRS093501","SGRP33196","aquatic;river",5.5,8.53,540,6,23
"DRR138687.DRS093512","SGRP64832","aquatic;river",5.5,8.53,437,6,23
"DRR138683.DRS093508","SGRP64832","aquatic;river",5.5,8.53,558,6,23
"DRR138684.DRS093509","SGRP64832","aquatic;river",5.5,8.53,499,6,23
"DRR138680.DRS093505","SGRP64832","aquatic;river",5.5,8.53,437,6,23
"DRR138682.DRS093507","SGRP64832","aquatic;river",5.5,8.53,502,6,23
"SRR7204133.SRS3328558","SGRP125491","aquatic;lake",5.645,7.38,502,6,23
"SRR7204128.SRS3328564","SGRP125491","aquatic;lake",5.645,7.38,462,6,23
"SRR7204134.SRS3328557","SGRP125491","aquatic;lake",5.645,7.38,537,6,23
"DRR138666.DRS093491","SGRP33201","aquatic;lake",6.1,8.54,467,6,23
"SRR10522110.SRS5719309","SGRP7863","aquatic;lake",6.35555555555556,8.16888888888889,638,6,23
"SRR1583213.SRS707198","SGRP262780","aquatic",6.39166666666667,7.91666666666667,1125,6,23
"SRR1583210.SRS707195","SGRP262780","aquatic",6.39166666666667,7.91666666666667,1155,6,23
"SRR1583227.SRS707212","SGRP262780","aquatic",6.39166666666667,7.91666666666667,709,6,23
"SRR1583230.SRS707215","SGRP262780","aquatic",6.39166666666667,7.91666666666667,698,6,23
"SRR1583232.SRS707217","SGRP262780","aquatic",6.39166666666667,7.91666666666667,607,6,23
"SRR1583224.SRS707209","SGRP262780","aquatic",6.39166666666667,7.91666666666667,900,6,23
"SRR1583214.SRS707199","SGRP262780","aquatic",6.39166666666667,7.91666666666667,1235,6,23
"SRR1583225.SRS707210","SGRP262780","aquatic",6.39166666666667,7.91666666666667,1029,6,23
"SRR1583226.SRS707211","SGRP262780","aquatic",6.39166666666667,7.91666666666667,971,6,23
"SRR1583231.SRS707216","SGRP262780","aquatic",6.39166666666667,7.91666666666667,682,6,23
"SRR1583219.SRS707204","SGRP262757","aquatic",6.6,8,1283,7,61
"SRR1583216.SRS707201","SGRP262757","aquatic",6.6,8,1708,7,61
"SRR1583218.SRS707203","SGRP262757","aquatic",6.6,8,1232,7,61
"SRR1583223.SRS707208","SGRP262757","aquatic",6.6,8,1179,7,61
"SRR1583215.SRS707200","SGRP262757","aquatic",6.6,8,1948,7,61
"ERR594322.ERS492685","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1788,7,61
"ERR599115.ERS493460","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2404,7,61
"ERR599166.ERS494208","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2231,7,61
"ERR599164.ERS489987","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1395,7,61
"SRR4028167.SRS1386497","SGRP69837","aquatic",6.95999881818182,7.41047619047619,997,7,61
"ERR598971.ERS492205","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1912,7,61
"ERR599086.ERS492381","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1960,7,61
"ERR599047.ERS494274","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1813,7,61
"ERR599033.ERS492680","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1182,7,61
"ERR598985.ERS494006","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2035,7,61
"ERR599021.ERS489987","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1018,7,61
"ERR599128.ERS491980","SGRP69837","aquatic",6.95999881818182,7.41047619047619,866,7,61
"ERR599083.ERS492680","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1254,7,61
"ERR598964.ERS494431","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2061,7,61
"ERR599112.ERS489727","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2428,7,61
"ERR599159.ERS490714","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2535,7,61
"SRR6048006.SRS2522238","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1002,7,61
"ERR599124.ERS490714","SGRP69837","aquatic",6.95999881818182,7.41047619047619,885,7,61
"ERR599000.ERS490633","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2129,7,61
"ERR598947.ERS490230","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1760,7,61
"ERR599072.ERS492471","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2037,7,61
"ERR598960.ERS490065","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2172,7,61
"SRR5002369.SRS1788379","SGRP69837","aquatic",6.95999881818182,7.41047619047619,940,7,61
"ERR594302.ERS490238","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1843,7,61
"ERR598999.ERS492680","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1211,7,61
"ERR599071.ERS491767","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1893,7,61
"ERR598944.ERS494616","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1989,7,61
"ERR599132.ERS491980","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1499,7,61
"SRR4028175.SRS1386501","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1798,7,61
"ERR599096.ERS492680","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1236,7,61
"ERR598980.ERS493372","SGRP69837","aquatic",6.95999881818182,7.41047619047619,2296,7,61
"ERR594305.ERS492684","SGRP69837","aquatic",6.95999881818182,7.41047619047619,1343,7,61
"ERR1897043.ERS1627481","SGRP251700","aquatic;lake",7.23125,8.40375,976,7,61
"ERR1897377.ERS1627815","SGRP251700","aquatic;lake",7.23125,8.40375,948,7,61
"ERR1897291.ERS1627729","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1602,7,61
"ERR1897407.ERS1627845","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1639,7,61
"ERR1897486.ERS1627924","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1361,7,61
"ERR1896703.ERS1627141","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1825,7,61
"ERR1897470.ERS1627908","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1765,7,61
"ERR1897126.ERS1627564","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1670,7,61
"ERR1897238.ERS1627676","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1241,7,61
"ERR1896702.ERS1627140","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1146,7,61
"ERR1896677.ERS1627115","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1209,7,61
"ERR1897259.ERS1627697","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1495,7,61
"ERR1896673.ERS1627111","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1313,7,61
"ERR1896662.ERS1627100","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1296,7,61
"ERR1896692.ERS1627130","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1370,7,61
"ERR1897284.ERS1627722","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1726,7,61
"ERR1896661.ERS1627099","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1541,7,61
"ERR1896640.ERS1627078","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1396,7,61
"ERR1896668.ERS1627106","SGRP251514","aquatic;lake",7.47272727272727,7.97904761904762,1028,7,61
