"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Richness","Temp_bin","AbsLatitude","LatRegion"
"SRR3499944.SRS1434301","SRS1434301","SGRP340298","aquatic","AMPLICON",0,NA,NA,484,0,NA,"Unknown"
"SRR5902215.SRS2408904","SRS2408904","SGRP198265","aquatic;sea","AMPLICON",0.1875,NA,NA,609,0,NA,"Unknown"
"SRR4384512.SRS1734477","SRS1734477","SGRP385960","aquatic","AMPLICON",0.214285714285714,-64.77,NA,494,0,64.77,"Polar_Subpolar"
"ERR1698692.ERS1417604","ERS1417604","SGRP231895","aquatic","AMPLICON",0.366183666666667,NA,NA,765,0,NA,"Unknown"
"ERR1756091.ERS491157","ERS491157","SGRP231895","aquatic","AMPLICON",0.366183666666667,-64.3567,NA,671,0,64.3567,"Polar_Subpolar"
"ERR1756034.ERS491157","ERS491157","SGRP231895","aquatic","AMPLICON",0.366183666666667,-64.3567,NA,554,0,64.3567,"Polar_Subpolar"
"ERR1544642.ERS1262258","ERS1262258","SGRP40301","aquatic","AMPLICON",0.4,-62.232,NA,1073,0,62.232,"Polar_Subpolar"
"ERR1544641.ERS1262257","ERS1262257","SGRP40301","aquatic","AMPLICON",0.4,-62.232,NA,752,0,62.232,"Polar_Subpolar"
"ERR1544640.ERS1262256","ERS1262256","SGRP40301","aquatic","AMPLICON",0.4,-62.232,NA,621,0,62.232,"Polar_Subpolar"
"ERR1544638.ERS1262254","ERS1262254","SGRP40301","aquatic","AMPLICON",0.4,-62.231,NA,581,0,62.231,"Polar_Subpolar"
"ERR1544639.ERS1262255","ERS1262255","SGRP40301","aquatic","AMPLICON",0.4,-62.231,NA,713,0,62.231,"Polar_Subpolar"
"SRR3821206.SRS1551840","SRS1551840","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,608,0,NA,"Unknown"
"SRR3821656.SRS1552000","SRS1552000","SGRP289595","aquatic","AMPLICON",0.401,-60.2472,NA,645,0,60.2472,"Polar_Subpolar"
"SRR3821069.SRS1551746","SRS1551746","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,523,0,NA,"Unknown"
"SRR3821145.SRS1551796","SRS1551796","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,476,0,NA,"Unknown"
"SRR3821136.SRS1551809","SRS1551809","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,617,0,NA,"Unknown"
"SRR3821632.SRS1552072","SRS1552072","SGRP289595","aquatic","AMPLICON",0.401,-61.9909,NA,636,0,61.9909,"Polar_Subpolar"
"SRR3821071.SRS1551745","SRS1551745","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,542,0,NA,"Unknown"
"SRR3821590.SRS1552055","SRS1552055","SGRP289595","aquatic","AMPLICON",0.401,-62.487,NA,498,0,62.487,"Polar_Subpolar"
"SRR3821081.SRS1551782","SRS1551782","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,494,0,NA,"Unknown"
"SRR4269892.SRS1704134","SRS1704134","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,597,0,NA,"Unknown"
"SRR3821667.SRS1552012","SRS1552012","SGRP289595","aquatic","AMPLICON",0.401,-60.2507,NA,592,0,60.2507,"Polar_Subpolar"
"SRR3821683.SRS1552079","SRS1552079","SGRP289595","aquatic","AMPLICON",0.401,-61.4886,NA,691,0,61.4886,"Polar_Subpolar"
